item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location
3431453055,24710134,Coolmate - Official Store,Combo 3 quần lót nam dáng Trunk Bamboo kháng khuẩn Coolmate,VND,240,2020-04-24,151482,8728,100011,COOLMATE,169000,169000,189000,299000,299000,43,39304,122,79,312,1288,37503,4.93372865395872,Hà Nội
5919139721,24710134,Coolmate - Official Store,"Quần thể thao nam Maxcool thoáng khí, thoải mái thương hiệu Coolmate",VND,3101,2020-03-10,73154,5058,100011,COOLMATE,119000,119000,129000,129000,129000,8,14090,87,63,223,632,13085,4.886412040323726,Hà Nội
7044949931,24710134,Coolmate - Official Store,Quần thể thao nam Max Ultra Short V2 kiểu dáng thể thao có thêm túi khóa sau tiện lợi Coolmate,VND,134,2020-08-04,36726,1563,100637,COOLMATE,109000,109000,179000,199000,199000,45,7864,45,22,78,254,7465,4.919572410282514,Hà Nội
7310895425,24710134,Coolmate - Official Store,Combo 5 quần lót sịp nam Trunk Cotton (2-3 màu) co giãn thoải mái thương hiệu Coolmate,VND,38,2019-12-11,62286,4112,100011,COOLMATE,289000,289000,289000,496000,496000,42,17022,53,37,129,553,16250,4.934822215692036,Hà Nội
10280321597,24710134,Coolmate - Official Store,Áo thể thao nam Coolmate Basics thấm hút nhanh khô,VND,5714,2021-12-30,43442,1823,100011,,99000,99000,99000,-1,-1,0,7576,40,33,101,327,7075,4.895987328405491,Hà Nội
21730960254,24710134,Coolmate - Official Store,Áo thun thể thao nam Active V1 thoáng khí mát mẻ - Coolmate,VND,1551,2022-08-04,16845,639,100011,,139000,139000,139000,169000,169000,18,3016,5,9,22,86,2894,4.94131299734748,Hà Nội
9177437633,24710134,Coolmate - Official Store,Áo Polo thể thao nam ProMax-S1 Logo thương hiệu Coolmate AW,VND,5325,2021-07-13,68661,4062,100011,None,189000,189000,239000,239000,239000,21,16008,62,44,160,582,15160,4.920707323169208,Hà Nội
7491859979,24710134,Coolmate - Official Store,Quần Short nam Ultra Pro thoải mái vận động (có túi khóa kéo) thương hiệu Coolmate,VND,221,2021-06-15,35533,1494,100011,None,109000,109000,109000,189000,189000,42,8330,26,19,73,261,7951,4.934646804420951,Hà Nội
3690696914,24710134,Coolmate - Official Store,Áo thun nam Cotton Coolmate Basics 200gsm thương hiệu Coolmate CW,VND,1707,2021-06-02,58393,3995,100011,None,149000,149000,149000,-1,-1,0,12643,61,25,107,384,12066,4.928865326792214,Hà Nội
5931355066,24710134,Coolmate - Official Store,Combo 3 Quần lót tam giác nam BRIEF BAMBOO kháng khuẩn Coolmate,VND,115,2020-04-24,38915,1735,100011,COOLMATE,129000,129000,139000,229000,229000,44,11463,40,22,77,357,10967,4.938449449973808,Hà Nội
7237568031,24710134,Coolmate - Official Store,Áo thun nam Cotton Compact phiên bản Premium chống nhăn Coolmate,VND,2892,2020-06-11,72626,5558,100011,COOLMATE,219000,219000,259000,259000,259000,15,17299,53,28,115,438,16665,4.945128649898814,Hà Nội
11563738080,24710134,Coolmate - Official Store,"Quần dài nam Daily Pants - sợi Sorona, nhuộm Cleandye thương hiệu Coolmate",VND,177,2021-10-25,27074,2447,100011,,269000,269000,299000,299000,299000,10,6426,31,33,99,265,5998,4.8944582814445825,Hà Nội
5943251527,24710134,Coolmate - Official Store,Quần thể thao nam 7inch Ultra Short có túi khóa kéo thương hiệu Coolmate,VND,7273,2020-07-22,78174,3348,100011,COOLMATE,139000,139000,189000,189000,189000,26,17111,67,48,177,579,16240,4.9219663315407995,Hà Nội
12862311839,24710134,Coolmate - Official Store,Áo ba lỗ Cotton 100% Coolmate Basics V2 Coolmate,VND,2091,2021-12-21,21070,1179,100011,,80000,80000,80000,89000,89000,10,3281,18,8,30,107,3118,4.919841511734227,Hà Nội
18483274744,24710134,Coolmate - Official Store,T-Shirt Basic Cotton 100% 220gsm dày dặn mềm mại - Thương hiệu Coolmate,VND,4211,2023-08-22,2011,312,100011,,169000,169000,179000,179000,179000,6,370,1,0,2,7,360,4.95945945945946,Hà Nội
20385453626,24710134,Coolmate - Official Store,Tất vớ cao cổ 84RISING nhiều màu,VND,864,2023-10-20,9,0,100011,,48000,48000,48000,-1,-1,0,1,0,0,0,0,1,5.0,Hà Nội
2121190269,24710134,Coolmate - Official Store,Combo 5 quần lót nam tam giác Cotton thương hiệu Coolmate (ngẫu nhiên 2-3 màu),VND,28,2019-04-18,38318,2066,100011,COOLMATE,239000,239000,239000,400000,400000,40,11481,39,22,78,345,10997,4.937625228678456,Hà Nội
