,item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location,crawl_date
0,3431453055,24710134,Coolmate - Official Store,Combo 3 quần lót nam dáng Trunk Bamboo kháng khuẩn Coolmate,VND,652,2018-05-06,153304,9013,100011,COOLMATE,169000,169000,299000,299000,299000,43,39759,123,80,316,1305,37935,4.933682197846433,Hà Nội,2023-11-12
0,5919139721,24710134,Coolmate - Official Store,"Quần thể thao nam Maxcool thoáng khí, thoải mái thương hiệu Coolmate",VND,84,2018-05-22,73673,5094,100011,COOLMATE,89000,89000,89000,129000,129000,31,14190,88,63,224,635,13180,4.886578316650218,Hà Nội,2023-11-12
0,10280321597,24710134,Coolmate - Official Store,Áo thể thao nam Coolmate Basics thấm hút nhanh khô,VND,231,2018-12-20,43989,1855,100637,,93000,93000,93000,99000,99000,6,7683,39,33,102,330,7179,4.897305739945334,Hà Nội,2023-11-12
0,7310895425,24710134,Coolmate - Official Store,Combo 5 quần lót sịp nam Trunk Cotton (2-3 màu) co giãn thoải mái thương hiệu Coolmate,VND,62,2018-12-20,63047,4166,100011,COOLMATE,289000,289000,299000,496000,496000,42,17233,55,37,130,560,16451,4.934633693254383,Hà Nội,2023-11-12
0,9177437633,24710134,Coolmate - Official Store,Áo Polo thể thao nam ProMax-S1 Logo thương hiệu Coolmate AW,VND,6329,2018-12-20,69064,4100,100011,None,189000,189000,239000,239000,239000,21,16097,62,44,160,583,15248,4.9210837009880075,Hà Nội,2023-11-12
0,5931355066,24710134,Coolmate - Official Store,Combo 3 Quần lót tam giác nam BRIEF BAMBOO kháng khuẩn Coolmate,VND,140,2018-12-20,39515,1778,100011,COOLMATE,129000,129000,129000,229000,229000,44,11626,40,22,79,359,11126,4.938796591202548,Hà Nội,2023-11-12
0,7237568031,24710134,Coolmate - Official Store,Áo thun nam Cotton Compact phiên bản Premium chống nhăn Coolmate,VND,217,2018-12-20,72884,5576,100011,COOLMATE,189000,189000,189000,259000,259000,27,17353,53,28,115,441,16716,4.9451265202605335,Hà Nội,2023-11-12
0,7491859979,24710134,Coolmate - Official Store,Quần Short nam Ultra Pro thoải mái vận động (có túi khóa kéo) thương hiệu Coolmate,VND,3553,2018-12-20,35918,1517,100011,None,159000,159000,159000,189000,189000,16,8404,27,20,73,265,8019,4.9339128363896165,Hà Nội,2023-11-12
0,7044949931,24710134,Coolmate - Official Store,Quần thể thao nam Max Ultra Short V2 kiểu dáng thể thao có thêm túi khóa sau tiện lợi Coolmate,VND,522,2018-12-20,37475,1604,100637,COOLMATE,119000,119000,179000,199000,199000,40,8028,45,23,80,258,7622,4.919845425081027,Hà Nội,2023-11-12
0,3690696914,24710134,Coolmate - Official Store,Áo thun nam Cotton Coolmate Basics 200gsm thương hiệu Coolmate CW,VND,129,2018-12-20,58676,4012,100011,None,99000,99000,99000,149000,149000,34,12696,62,24,107,386,12117,4.928926010558664,Hà Nội,2023-11-12
0,21730960254,24710134,Coolmate - Official Store,Áo thun thể thao nam Active V1 thoáng khí mát mẻ - Coolmate,VND,121,2018-12-20,17206,673,100011,,109000,109000,109000,169000,169000,36,3104,5,10,24,90,2975,4.939432989690721,Hà Nội,2023-11-12
0,18483274744,24710134,Coolmate - Official Store,T-Shirt Basic Cotton 100% 220gsm dày dặn mềm mại - Thương hiệu Coolmate,VND,5450,2019-03-06,2218,345,100011,,169000,169000,179000,179000,179000,6,425,2,0,2,8,413,4.952941176470588,Hà Nội,2023-11-12
0,14785229523,24710134,Coolmate - Official Store,Combo 3 Quần lót Trunk vải Cotton Modal đen cạp mới co giãn không vết hằn - thương hiệu Coolmate,VND,220,2019-03-09,7212,534,100011,,179000,179000,179000,299000,299000,40,1822,8,5,16,44,1749,4.932491767288694,Hà Nội,2023-11-12
0,11563738080,24710134,Coolmate - Official Store,"Quần dài nam Daily Pants - sợi Sorona, nhuộm Cleandye thương hiệu Coolmate",VND,1686,2019-03-09,27431,2474,100011,,269000,269000,299000,299000,299000,10,6515,31,33,100,270,6081,4.894825733149086,Hà Nội,2023-11-12
0,2121190269,24710134,Coolmate - Official Store,Combo 5 quần lót nam tam giác Cotton thương hiệu Coolmate (ngẫu nhiên 2-3 màu),VND,54,2019-03-09,38865,2098,100011,COOLMATE,229000,229000,229000,400000,400000,43,11638,39,22,82,348,11147,4.937521485046408,Hà Nội,2023-11-12
0,5943251527,24710134,Coolmate - Official Store,Quần thể thao nam 7inch Ultra Short có túi khóa kéo thương hiệu Coolmate,VND,7954,2019-03-16,78474,3370,100011,COOLMATE,139000,139000,189000,189000,189000,26,17165,67,48,179,579,16292,4.921978790350775,Hà Nội,2023-11-12
0,21031410795,24710134,Coolmate - Official Store,[ Outlet ] Áo Polo thể thao nam Active V1 thoáng khí mát mẻ - thương hiệu Coolmate,VND,3812,2019-03-16,6040,544,100011,,149000,149000,149000,249000,249000,40,1417,4,7,15,63,1328,4.908256880733945,Hà Nội,2023-11-12
0,21428724190,24710134,Coolmate - Official Store,[ Outlet ] Combo 3 quần lót nam Trunk Tencel mềm mại thấm hút tốt - thương hiệu Coolmate,VND,1440,2019-03-16,4972,438,100011,,179000,179000,299000,299000,299000,40,1052,2,4,7,24,1015,4.944866920152092,Hà Nội,2023-11-12
0,3431453271,24710134,Coolmate - Official Store,Combo 3 quần lót nam Brief Boxer Bamboo kháng khuẩn Coolmate,VND,888,2019-03-20,8765,712,100011,COOLMATE,209000,209000,209000,349000,349000,40,2695,9,6,17,85,2578,4.9383587077608615,Hà Nội,2023-11-12
0,22925891512,24710134,Coolmate - Official Store,Áo thun oversize chuột Mickey Disney - thương hiệu 84RISING,VND,2837,2019-03-25,2488,938,100011,,259000,259000,259000,399000,399000,35,592,1,1,2,13,575,4.964346349745331,Hà Nội,2023-11-12
0,9461767378,24710134,Coolmate - Official Store,Áo sơ mi nam dài tay Café Sticky Free khử mùi hiệu quả - thương hiệu Coolmate,VND,23,2019-03-25,2343,455,100011,,339000,339000,339000,499000,499000,32,669,1,2,5,25,636,4.932735426008969,Hà Nội,2023-11-12
0,23833488083,24710134,Coolmate - Official Store,Áo Thun Chạy bộ nam Essentials Fast and Free Running - thương hiệu Coolmate,VND,3559,2019-03-25,4302,268,100637,,149000,149000,159000,159000,159000,6,833,1,4,8,32,788,4.923169267707083,Hà Nội,2023-11-12
